sample id;organism list;biomass rxn;carbon source rxn;KO objective;Reference;Number of carbons;Experimental medium
bif_fab;iBif452, iFap484;R_Community_Growth;R_EX_M_glc__D_e_pool;R_EX_M_but_e_pool;http://bmcsystbiol.biomedcentral.com/articles/10.1186/1752-0509-8-41;6;['R_EX_M_nh4_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_cys__L_e_pool', 'R_EX_M_nac_e_pool', 'R_EX_M_fol_e_pool', 'R_EX_M_h2o_e_pool', 'R_EX_M_ala__L_e_pool', 'R_EX_M_arg__L_e_pool', 'R_EX_M_asp__L_e_pool', 'R_EX_M_asn__L_e_pool', 'R_EX_M_phe__L_e_pool', 'R_EX_M_glu__L_e_pool', 'R_EX_M_gln__L_e_pool', 'R_EX_M_gly_e_pool', 'R_EX_M_ his__L_e_pool', 'R_EX_M_ile__L_e_pool', 'R_EX_M_leu__L_e_pool', 'R_EX_M_lys__L_e_pool', 'R_EX_M_ser__L_e_pool', 'R_EX_M_tyr__L_e_pool', 'R_EX_M_thr__L_e_pool', 'R_EX_M_trp__L_e_pool', 'R_EX_M_val__L_e_pool', 'R_EX_M_pro__L_e_pool', 'R_EX_M_met__L_e_pool']
bme_kvu;iWZ663, iMZ1055;R_Community_Growth;R_EX_M_glc__D_e_pool;___;https://www.ncbi.nlm.nih.gov/pubmed/24815194;6;['R_EX_M_nh4_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_ca2_e_pool', 'R_EX_M k_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_h2o_e_pool', 'R_EX_M_co2_e_pool', 'R_EX_M_glc__D_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_na1_e_pool', 'R_EX_M_fe2_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_zn2_e_pool', 'R_EX_M_cu2_e_pool', 'R_EX_M_mobd_e_pool', 'R_EX_M_tungs_e_pool', 'R_EX_M_ni2_e_pool']
eco_bsu_son;iAF1260, iBsu1103, iSO783;R_Community_Growth;R_EX_M_glc__D_e_pool;R_EX_M_succ_e_pool;https://pubs.rsc.org/en/content/articlehtml/2017/ee/c6ee03705d;6;['R_EX_M_ca2_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_na1_e_pool', 'R_EX_M_no3_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_fe3_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_cu_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_mobd_e_pool', 'R_EX_M_zn2_e_pool', 'R_EX_M_o2_e_pool', 'R_EX_M_thm_e_pool', 'R_EX_M_tym_e_pool', 'R_EX_M_co2_e_pool', 'R_EX_M_mmet_e_pool']
eco_bsu;iAF1260, iBsu1103;R_Community_Growth;R_EX_M_glc__D_e_pool;R_EX_M_succ_e_pool;https://pubs.rsc.org/en/content/articlehtml/2017/ee/c6ee03705d;6;['R_EX_M_ca2_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_na1_e_pool', 'R_EX_M_no3_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_fe3_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_cu_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_mobd_e_pool', 'R_EX_M_zn2_e_pool', 'R_EX_M_o2_e_pool', 'R_EX_M_thm_e_pool', 'R_EX_M_tym_e_pool', 'R_EX_M_co2_e_pool', 'R_EX_M_mmet_e_pool']
eco_cgl;iAF1260, iYS432;R_Community_Growth;R_EX_M_sucr_e_pool;R_EX_M_lys__L_e_pool;https://pubs.rsc.org/en/content/articlehtml/2019/lc/c8lc00977e;12;['R_EX_M_nh4_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_urea_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_ca2_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_fe2_e_pool', 'R_EX_M_zn2_e_pool', 'R_EX_M_cu2_e_pool', 'R_EX_M_ni2_e_pool', 'R_EX_M_mobd_e_pool', 'R_EX_M_pnto_R_e_pool', 'R_EX_M_thm_e_pool', 'R_EX_M_o2_e_pool', 'R_EX_M_mn2_e_pool']
eco_ppu;iAF1260, iJN746;R_Community_Growth;R_EX_M_glc__D_e_pool;R_EX_M_lys__L_e_pool;https://pubs.rsc.org/en/content/articlehtml/2019/lc/c8lc00977e;6;['R_EX_M_cu2_e_pool', 'R_EX_M_fe3_e_pool', 'R_EX_M_nh4_e_pool', 'R_EX_M_pnto_R_e_pool', 'R_EX_M_ribflv_e_pool', 'R_EX_M_thmd_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_o2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_zn2_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_ca2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_mobd_e_pool']
eco_sce;iAF1260, iMM904;R_Community_Growth;R_EX_M_xyl__D_e_pool;R_EX_M_etoh_e_pool;https://www.sciencedirect.com/science/article/pii/S1389172308700331?via%3Dihub;6;['R_EX_M_cu2_e_pool', 'R_EX_M_fe3_e_pool', 'R_EX_M_nh4_e_pool', 'R_EX_M_pnto_R_e_pool', 'R_EX_M_ribflv_e_pool', 'R_EX_M_thmd_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_o2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_zn2_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_ca2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_mobd_e_pool']
eco_son;iAF1260, iSO783;R_Community_Growth;R_EX_M_glc__D_e_pool;R_EX_M_succ_e_pool;https://pubs.rsc.org/en/content/articlehtml/2017/ee/c6ee03705d;6;['R_EX_M_cu2_e_pool', 'R_EX_M_fe3_e_pool', 'R_EX_M_nh4_e_pool', 'R_EX_M_pnto_R_e_pool', 'R_EX_M_ribflv_e_pool', 'R_EX_M_thmd_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_o2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_zn2_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_ca2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_mobd_e_pool']
eco_sty;iAF1260, iRR1083;R_Community_Growth;R_EX_M_lcts_e_pool;R_EX_M_succ_e_pool;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6194032/;3;['R_EX_M_zn2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_fe2_e_pool', 'R_EX_M_nh4_e_pool', 'R_EX_M_mobd_e_pool', 'R_EX_M_cu2_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_na1_e_pool', 'R_EX_M_wo_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_lcts_e_pool']
eco_sty_mex;iRP911, iAF1260, iRR1083;R_Community_Growth;R_EX_M_lcts_e_pool;R_EX_M_succ_e_pool;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6194032/;3;['R_EX_M_zn2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_fe2_e_pool', 'R_EX_M_nh4_e_pool', 'R_EX_M_mobd_e_pool', 'R_EX_M_cu2_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_na1_e_pool', 'R_EX_M_wo_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_mma_e_pool', 'R_EX_M_lcts_e_pool']
eco_mex;iRP911, iAF1260;R_Community_Growth;R_EX_M_lcts_e_pool;R_EX_M_succ_e_pool;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6194032/;3;['R_EX_M_zn2_e_pool', 'R_EX_M_mn2_e_pool', 'R_EX_M_so4_e_pool', 'R_EX_M_cl_e_pool', 'R_EX_M_fe2_e_pool', 'R_EX_M_nh4_e_pool', 'R_EX_M_mobd_e_pool', 'R_EX_M_cu2_e_pool', 'R_EX_M_cobalt2_e_pool', 'R_EX_M_na1_e_pool', 'R_EX_M_tungs_e_pool', 'R_EX_M_k_e_pool', 'R_EX_M_pi_e_pool', 'R_EX_M_mg2_e_pool', 'R_EX_M_mma_e_pool', 'R_EX_M_lac_D_e_pool', 'R_EX_M_met_L_e_pool']
